ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS100_1A,PS100_1M,PS100_1S,PS3
2021,      032703201,2,327,32,1,3,6,2,1
2021,      032703901,1,327,39,1,4,98,1,1
2021,      032703901,2,327,39,1,4,98,2,2
2021,      032801601,1,328,16,1,5,4,2,1
2021,      032802101,1,328,21,1,3,6,2,1
2021,      032802601,2,328,26,1,8,2,2,1
2021,      032810101,1,328,101,1,2,3,1,1
2021,      032810101,2,328,101,1,5,5,2,2
2021,      032810401,2,328,104,1,0,4,2,1
2021,      032904201,1,329,42,1,3,98,2,1
2021,      032904301,1,329,43,1,4,8,2,1
2021,      032910901,1,329,109,1,2,0,2,1
2021,      033201701,1,332,17,1,6,2,2,1
2021,      033306401,1,333,64,1,5,7,2,1
2021,      033400401,5,334,4,1,4,98,2,1
2021,      033400501,1,334,5,1,6,98,2,1
2021,      033401001,1,334,10,1,1,8,2,1
2021,      033413201,1,334,132,1,2,98,2,1
2021,      033503601,1,335,36,1,3,98,2,1
2021,      033503701,2,335,37,1,2,98,2,1
2021,      033510601,1,335,106,1,6,98,1,1
2021,      033510601,2,335,106,1,6,98,2,2
2021,      033511001,1,335,110,1,0,7,2,1
2021,      033608901,5,336,89,1,1,98,2,1
2021,      033707001,4,337,70,1,7,0,2,1
2021,      033709201,1,337,92,1,2,0,1,1
2021,      033709201,2,337,92,1,2,6,2,2
2021,      033800901,1,338,9,1,8,11,1,1
2021,      033800901,2,338,9,1,6,3,2,2
2021,      033801001,2,338,10,1,1,10,2,1
2021,      033805001,2,338,50,1,3,6,2,1
2021,      033805101,1,338,51,1,0,1,1,1
2021,      033805101,2,338,51,1,4,0,2,2
2021,      033904201,4,339,42,1,0,2,2,1
2021,      033904501,1,339,45,1,1,2,2,1
2021,      034009201,1,340,92,1,7,98,2,1
2021,      034009501,1,340,95,1,1,9,2,1
2021,      034401401,1,344,14,1,4,4,2,1
2021,      034407801,6,344,78,1,4,4,2,1
2021,      034512401,4,345,124,1,1,98,2,1
2021,      034611901,6,346,119,1,3,98,2,1
2021,      034612301,1,346,123,1,4,5,1,1
2021,      034612301,2,346,123,1,4,5,2,2
2021,      034800401,1,348,4,1,6,98,2,1
2021,      034900301,1,349,3,1,0,7,1,1
2021,      034900301,2,349,3,1,0,4,2,2
2021,      034900601,1,349,6,1,3,3,2,1
2021,      035003501,1,350,35,1,4,0,2,1
2021,      035007901,1,350,79,1,5,0,2,1
2021,      035914501,12,359,145,1,0,2,2,1
2021,      036110901,1,361,109,1,0,2,2,1
2021,      037611801,1,376,118,1,4,5,1,1
2021,      037611801,2,376,118,1,4,5,2,2
2021,      038401701,1,384,17,1,3,0,2,1
2021,      040706801,4,407,68,1,5,3,2,1
2021,      042802401,3,428,24,1,3,10,2,1
2021,      043000801,1,430,8,1,1,2,2,1
2021,      043410201,1,434,102,1,4,4,2,1
2021,      043601001,1,436,10,1,0,8,2,1
2021,      044001401,1,440,14,1,0,4,2,1
2021,      044006901,6,440,69,1,3,0,2,1
2021,      044701001,1,447,10,1,4,2,2,1
2021,      044705201,2,447,52,1,5,4,2,1
2021,      044905201,1,449,52,1,8,1,1,1
2021,      044905201,2,449,52,1,2,0,2,2
2021,      045003501,1,450,35,1,5,2,1,1
2021,      045003501,2,450,35,1,4,2,2,2
2021,      045106201,3,451,62,1,2,4,2,1
2021,      045109701,2,451,97,1,4,3,2,1
