ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS104_1A,PS104_1M,PS104_1S,PS5
2021,      051801601,1,518,16,1,5,0,2,1
2021,      051802701,1,518,27,1,0,2,2,1
2021,      051803601,2,518,36,1,3,0,2,1
2021,      051805601,1,518,56,1,98,98,2,1
2021,      052900401,1,529,4,1,1,1,2,1
2021,      054409301,1,544,93,1,0,1,2,1
2021,      054409801,2,544,98,1,0,1,2,1
2021,      054701801,2,547,18,1,2,0,2,1
2021,      054702001,2,547,20,1,2,0,2,1
2021,      054706001,1,547,60,1,2,0,2,1
2021,      054706101,2,547,61,1,2,3,2,1
2021,      054706301,2,547,63,1,4,0,2,1
2021,      054710301,2,547,103,1,1,0,2,1
2021,      054710901,2,547,109,1,5,0,2,1
2021,      055306801,1,553,68,1,1,4,2,1
2021,      056300701,1,563,7,1,3,0,2,1
2021,      063503101,1,635,31,1,1,3,2,1
2021,      063603801,2,636,38,1,10,0,2,1
2021,      069411101,2,694,111,1,0,4,2,1
2021,      069411201,1,694,112,1,0,1,2,1
2021,      069411301,3,694,113,1,0,4,2,1
2021,      072313601,1,723,136,1,10,0,2,1
2021,      072914801,1,729,148,1,1,0,1,1
2021,      072914801,2,729,148,1,1,0,1,2
2021,      072914801,3,729,148,1,1,0,1,3
2021,      072914801,4,729,148,1,1,0,2,4
2021,      073208901,2,732,89,1,2,0,1,1
2021,      073208901,3,732,89,1,2,0,2,2
2021,      075207601,2,752,76,1,0,2,2,1
2021,      075310601,2,753,106,1,2,0,2,1
2021,      075310701,2,753,107,1,98,98,2,1
2021,      075310801,2,753,108,1,15,0,2,1
2021,      075312501,2,753,125,1,5,0,2,1
2021,      075312701,2,753,127,1,2,0,2,1
2021,      075703001,2,757,30,1,0,2,2,1
2021,      075704001,2,757,40,1,19,0,2,1
2021,      075704801,2,757,48,1,2,0,2,1
2021,      075707201,2,757,72,1,2,0,2,1
2021,      075708301,2,757,83,1,8,0,2,1
2021,      077001701,1,770,17,1,1,0,1,1
2021,      077001701,2,770,17,1,1,0,1,2
2021,      077001701,3,770,17,1,1,0,2,3
2021,      077909401,1,779,94,1,2,0,2,1
2021,      078804401,2,788,44,1,4,4,1,1
2021,      078804401,3,788,44,1,4,0,1,2
2021,      078804401,4,788,44,1,4,0,2,3
2021,      079303301,6,793,33,1,6,0,1,1
2021,      079303301,7,793,33,1,4,0,1,2
2021,      079303301,8,793,33,1,0,8,2,3
2021,      080708901,1,807,89,1,3,0,2,1
2021,      081219001,2,812,190,1,3,3,2,1
2021,      081219201,2,812,192,1,10,2,2,1
2021,      081408301,2,814,83,1,2,0,2,1
2021,      081408501,2,814,85,1,4,0,2,1
2021,      081409301,3,814,93,1,5,2,1,1
2021,      081409301,4,814,93,1,2,0,2,2
2021,      081409401,3,814,94,1,2,0,1,1
2021,      081409401,4,814,94,1,2,0,1,2
2021,      081409401,5,814,94,1,2,0,2,3
2021,      081604601,2,816,46,1,5,0,2,1
2021,      081604801,2,816,48,1,10,0,2,1
2021,      081705801,2,817,58,1,1,0,2,1
2021,      081705901,2,817,59,1,2,0,2,1
2021,      081706001,2,817,60,1,4,0,2,1
2021,      081706101,2,817,61,1,12,0,2,1
2021,      081804101,2,818,41,1,0,6,1,1
2021,      081804101,7,818,41,1,0,6,2,2
2021,      081806001,1,818,60,1,10,0,1,1
2021,      081806001,2,818,60,1,10,0,1,2
2021,      081806001,3,818,60,1,10,0,2,3
2021,      081806101,1,818,61,1,0,3,1,1
2021,      081806101,2,818,61,1,0,3,1,2
2021,      081806101,3,818,61,1,0,3,1,3
2021,      081806101,4,818,61,1,0,3,1,4
2021,      081806101,5,818,61,1,0,3,2,5
2021,      083103101,2,831,31,1,2,0,2,1
2021,      085002101,1,850,21,1,0,7,2,1
2021,      085006001,3,850,60,1,1,5,1,1
2021,      085006001,4,850,60,1,1,5,2,2
2021,      085403501,1,854,35,1,10,3,1,1
2021,      085403501,2,854,35,1,6,0,1,2
2021,      085403501,3,854,35,1,2,0,2,3
2021,      085501901,2,855,19,1,1,5,2,1
2021,      087402801,2,874,28,1,0,3,2,1
2021,      087411001,2,874,110,1,0,1,2,1
2021,      088407701,1,884,77,1,16,5,2,1
2021,      089600701,1,896,7,1,3,3,1,1
2021,      089600701,2,896,7,1,3,3,1,2
2021,      089600701,3,896,7,1,0,3,2,3
2021,      089802601,2,898,26,1,0,4,2,1
2021,      089803901,2,898,39,1,1,2,2,1
2021,      091012501,2,910,125,1,4,5,2,1
2021,      094210801,1,942,108,1,0,3,2,1
2021,      094600901,2,946,9,1,0,6,2,1
2021,      095602701,2,956,27,1,1,6,2,1
2021,      095603101,2,956,31,1,0,4,2,1
2021,      097102201,2,971,22,1,98,98,2,1
2021,      097611701,1,976,117,1,19,4,2,1
2021,      097710101,1,977,101,1,0,2,2,1
2021,      097710201,1,977,102,1,0,2,1,1
2021,      097710201,2,977,102,1,0,2,2,2
2021,      098103401,1,981,34,1,0,7,2,1
2021,      098303401,1,983,34,1,2,5,2,1
2021,      098810701,2,988,107,1,0,10,2,1
2021,      102310101,1,1023,101,1,19,2,2,1
2021,      102902001,2,1029,20,1,0,1,2,1
2021,      102902701,3,1029,27,1,1,1,2,1
2021,      102904201,1,1029,42,1,0,1,2,1
2021,      103202301,2,1032,23,1,5,0,2,1
2021,      103801101,1,1038,11,1,19,5,2,1
2021,      103803001,6,1038,30,1,1,5,2,1
2021,      108711501,2,1087,115,1,15,0,2,1
2021,      114701501,1,1147,15,1,2,0,2,1
2021,      114801501,2,1148,15,1,4,98,2,1
2021,      114803201,1,1148,32,1,19,98,2,1
2021,      114803601,2,1148,36,1,1,0,2,1
2021,      116005601,2,1160,56,1,1,2,1,1
2021,      116005601,4,1160,56,1,1,2,1,2
2021,      116005601,5,1160,56,1,1,2,1,3
2021,      116005601,6,1160,56,1,1,2,2,4
2021,      118606101,1,1186,61,1,8,0,2,1
2021,      121302501,2,1213,25,1,6,0,2,1
2021,      122203201,2,1222,32,1,2,10,2,1
2021,      124002401,2,1240,24,1,4,6,2,1
2021,      124004701,1,1240,47,1,3,3,2,1
2021,      125708601,2,1257,86,1,4,0,2,1
2021,      126400701,2,1264,7,1,1,2,2,1
2021,      126401601,2,1264,16,1,0,6,2,1
2021,      126402101,2,1264,21,1,0,1,2,1
2021,      126402201,1,1264,22,1,0,1,2,1
2021,      126403201,2,1264,32,1,1,0,2,1
2021,      127010701,2,1270,107,1,8,0,2,1
2021,      127305801,2,1273,58,1,7,3,2,1
2021,      127306001,1,1273,60,1,5,3,2,1
2021,      127306101,1,1273,61,1,3,0,2,1
2021,      129605901,1,1296,59,1,1,0,1,1
2021,      129605901,2,1296,59,1,1,0,2,2
2021,      130100901,5,1301,9,1,1,9,2,1
2021,      130304001,2,1303,40,1,1,0,2,1
2021,      130806001,6,1308,60,1,3,0,1,1
2021,      130806001,11,1308,60,1,3,0,2,2
2021,      130806601,2,1308,66,1,2,0,2,1
2021,      130810101,2,1308,101,1,0,2,2,1
2021,      130907801,2,1309,78,1,4,0,2,1
2021,      131001601,2,1310,16,1,19,0,2,1
2021,      131206101,2,1312,61,1,3,0,2,1
2021,      131206201,2,1312,62,1,5,0,1,1
2021,      131206201,5,1312,62,1,1,2,2,2
2021,      131209401,5,1312,94,1,0,1,2,1
2021,      131209701,2,1312,97,1,10,1,2,1
2021,      131501601,2,1315,16,1,19,0,1,1
2021,      131501601,6,1315,16,1,2,0,2,2
2021,      131513301,1,1315,133,1,0,3,2,1
2021,      132207501,2,1322,75,1,2,0,2,1
2021,      132503701,2,1325,37,1,15,98,2,1
2021,      132503801,2,1325,38,1,2,98,2,1
2021,      132504001,2,1325,40,1,5,0,2,1
2021,      132603701,1,1326,37,1,10,0,2,1
2021,      132609801,2,1326,98,1,4,0,2,1
2021,      132610001,3,1326,100,1,1,6,2,1
2021,      132800501,2,1328,5,1,1,0,2,1
2021,      135002101,1,1350,21,1,6,0,1,1
